TITLE,YEAR,GENRE,USER RATING,IMDB-RATING,ACTOR1,ACTOR2,ACTOR3,DIRECTOR,WRITER,NOMINATIONS
Star Trek: First Contact,1996,Action;Adventure;Sci-Fi,2,7.5,Patrick Stewart,Jonathan Frakes,Brent Spiner,Jonathan Frakes,Gene Roddenberry,MAKEUP
Cars,2006,Animation;Adventure;Comedy,3,7.3,Owen Wilson,Paul Newman,Bonnie Hunt,John Lasseter,John Lasseter,ANIMATED FEATURE FILM;MUSIC (Original Song)
Mickey's Christmas Carol,1983,Family;Fantasy;Short,3,7.8,Alan Young,Wayne Allwine,Hal Smith,Burny Mattinson,Burny Mattinson,SHORT FILM (Animated)
Winnie the Pooh and the Blustery Day,1968,Animation;Short;Family,3,7.8,Sebastion Cabot,Sterling Holloway,John Fiedler,Wolfgang Reitherman,Larry Clemmons,SHORT SUBJECT (Cartoon)
Bambi,1942,Animation;Drama;Family,5,7.4,Hardie Albright,Stan Alexander,Bobette Audrey,James Algar,Felix Salten,MUSIC (Music Score of a Dramatic or Comedy Picture);MUSIC (Song);SOUND RECORDING
Doctor Dolittle,1967,Adventure;Comedy;Family,5,6,Rex Harrison,Samantha Eggar,Anthony Newley,Richard Fleischer,High Lofting,ART DIRECTION;BEST PICTURE;CINEMATOGRAPHY;FILM EDITING;MUSIC (Original Music Score);MUSIC (Scoring of Music--adaptation or treatment);MUSIC (Song);SOUND;SPECIAL VISUAL EFFECTS
Jane Eyre,2011,Drama;Romance,5,7.3,Mia Wasilowska,Jamie Bell,Su Elliot,Cary Fukunaga,Charlotte Bronte,COSTUME DESIGN
Sleeping Beauty,1959,Animation;Family;Fantasy,5,7.3,Sebastion Cabot,Bill Shirley,Eleanor Audley,Clyde Geronimi,Erdman Penner,MUSIC (Scoring of a Musical Picture)
The Karate Kid,1984,Action;Drama;Family,5,7.1,Ralph Macchio,Pat Morita,Elisabeth Shue,John G. Avildsen,Robert Mark Kamen,ACTOR IN A SUPPORTING ROLE
Camelot,1967,Adventure;Comedy;Drama,6,6.4,Richard Harris,Vanessa Redgrave,Franco Nero,Joshua Logan,Alan Jay Lerner,ART DIRECTION;CINEMATOGRAPHY;COSTUME DESIGN;MUSIC (Scoring of Music--adaptation or treatment);SOUND
Full Metal Jacket,1987,Drama;War,6,8.4,Matthew Modine,Adam Baldwin,Vincent D'Onofrio,Stanley Kubrick,Gustav Hasford,WRITING (Screenplay Based on Material from Another Medium)
Home Alone,1990,Adventure;Comedy;Family,6,7.3,Macaulay Culkin,Joe Pesci,Daniel Stern,Chris Columbus,John Hughes,MUSIC (Original Score);MUSIC (Original Song)
The Emperor's New Groove,2000,Animation;Adventure;Comedy,6,7.2,David Spade,John Goodman,Eartha Kitt,Mark Dindal,Chris Williams,MUSIC (Original Song)
The Muppet Movie,1979,Adventure;Comedy;Family,6,7.6,Jim Henson,Frank Oz,Jerry Nelson,James Frawley,Jack Burns,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score);MUSIC (Original Song)
Beetlejuice,1988,Comedy;Fantasy,7,7.4,Alec Baldwin,Geena Davis,Annie McEnroe,Tim Burton,Michael McDowell,MAKEUP
Collateral,2004,Crime;Drama;Thriller,7,7.6,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Michael Mann,Stuart Beattie,ACTOR IN A SUPPORTING ROLE;FILM EDITING
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy;War,7,8.6,Peter Sellers,George C. Scott,Sterling Hayden,Stanley Kubrick,Stanley Kubrick,ACTOR;BEST PICTURE;DIRECTING;WRITING (Screenplay--based on material from another medium)
Superman Returns,2006,Action;Adventure;Fantasy,7,6.3,Brandon Routh,Kate Bosworth,Kevin Spacey,Bryan Singer,Michael Dougherty,VISUAL EFFECTS
The Fighter,2010,Biography;Drama;Sport,7,7.9,Mark Wahlberg,Christian Bale,Amy Adams,David O. Russell,Scott Silver,ACTOR IN A SUPPORTING ROLE;ACTRESS IN A SUPPORTING ROLE;ACTRESS IN A SUPPORTING ROLE;BEST PICTURE;DIRECTING;FILM EDITING;WRITING (Original Screenplay)
Beverly Hills Cop,1984,Action;Comedy;Crime,8,7.3,Eddie Murphy,Judge Reinhold,John Ashton,Martin Brest,Daniel Petrie Jr.,WRITING (Screenplay Written Directly for the Screen)
Dead Poets Society,1989,Drama,8,7.9,Robin Williams,Robert Sean Leonard,Ethan Hawke,Peter Weir,Tom Schulman,ACTOR;BEST PICTURE;DIRECTING;WRITING (Screenplay Written Directly for the Screen)
Gladiator,2000,Action;Adventure;Drama,8,8.5,Russell Crowe,Joacuin Phoenix,Connie Nielsen,Ridley Scott,David Franzoni,ACTOR;ACTOR IN A SUPPORTING ROLE;ART DIRECTION;BEST PICTURE;CINEMATOGRAPHY;COSTUME DESIGN;DIRECTING;FILM EDITING;MUSIC (Original Score);SOUND;VISUAL EFFECTS;WRITING (Screenplay Written Directly for the Screen)
Scrooge,1970,Fantasy;Musical,8,7.2,Albert Finney,Edith Evans,Kenneth More,Ronald Neame,Charles Dickens,ART DIRECTION;COSTUME DESIGN;MUSIC (Original Song Score);MUSIC (Song--Original for the Picture)
The Godfather,1972,Crime;Drama,8,9.2,Marlon Brando,Al Pacino,James Caan,Francis Ford Coppola,Mario Puza,ACTOR IN A SUPPORTING ROLE;ACTOR IN A SUPPORTING ROLE;ACTOR IN A SUPPORTING ROLE;ACTOR;BEST PICTURE;COSTUME DESIGN;DIRECTING;FILM EDITING;MUSIC (Original Dramatic Score);SOUND;WRITING (Screenplay--based on material from another medium)
The Last Samurai,2003,Action;Adventure;Drama,8,7.7,Ken Watanabe,Tom Cruise,William Atherton,Edward Zwick,John Logan,ACTOR IN A SUPPORTING ROLE;ART DIRECTION;COSTUME DESIGN;SOUND MIXING
